onet_code,skill_clean,importance,skill,source
11-1021.00,amazon web services aws software,3.0,Amazon Web Services AWS software,tech
11-1021.00,amg teleran salesinsync,3.0,AMG Teleran SalesInSync,tech
11-1021.00,apache hadoop,3.0,Apache Hadoop,tech
11-1021.00,apple final cut pro,3.0,Apple Final Cut Pro,tech
11-1021.00,apple keynote,3.0,Apple Keynote,tech
11-1021.00,apple macos,3.0,Apple macOS,tech
11-1021.00,atlassian confluence,3.0,Atlassian Confluence,tech
11-1021.00,atlassian jira,3.0,Atlassian JIRA,tech
11-1021.00,autodesk autocad,3.0,Autodesk AutoCAD,tech
11-1021.00,avidian technologies prophet,3.0,Avidian Technologies Prophet,tech
11-1021.00,blackbaud the raiser's edge,3.0,Blackbaud The Raiser's Edge,tech
11-1021.00,blackboard software,3.0,Blackboard software,tech
11-1021.00,calendar and scheduling software,3.0,Calendar and scheduling software,tech
11-1021.00,citrix cloud computing software,3.0,Citrix cloud computing software,tech
11-1021.00,cnc mastercam,3.0,CNC Mastercam,tech
11-1021.00,complex problem solving,3.62,Complex Problem Solving,skill
11-1021.00,computer aided manufacturing cam software,3.0,Computer aided manufacturing CAM software,tech
11-1021.00,computers and electronics,2.67,Computers and Electronics,knowledge
11-1021.00,coordination,3.88,Coordination,skill
11-1021.00,critical thinking,3.88,Critical Thinking,skill
11-1021.00,customer and personal service,4.15,Customer and Personal Service,knowledge
11-1021.00,customer information control system cics,3.0,Customer information control system CICS,tech
11-1021.00,database software,3.0,Database software,tech
11-1021.00,datawatch monarch,3.0,Datawatch Monarch,tech
11-1021.00,deacom erp,3.0,Deacom ERP,tech
11-1021.00,delphi technology,3.0,Delphi Technology,tech
11-1021.00,dropbox,3.0,Dropbox,tech
11-1021.00,dynamic energy systems medact,3.0,Dynamic Energy Systems MedAct,tech
11-1021.00,economics and accounting,3.2,Economics and Accounting,knowledge
11-1021.00,education and training,2.79,Education and Training,knowledge
11-1021.00,eko,3.0,Eko,tech
11-1021.00,engineering and technology,2.9,Engineering and Technology,knowledge
11-1021.00,english language,3.7,English Language,knowledge
11-1021.00,evernote,3.0,Evernote,tech
11-1021.00,extensible markup language xml,3.0,Extensible markup language XML,tech
11-1021.00,facebook,3.0,Facebook,tech
11-1021.00,filemaker pro,3.0,FileMaker Pro,tech
11-1021.00,flipgrid,3.0,Flipgrid,tech
11-1021.00,fund accounting software,3.0,Fund accounting software,tech
11-1021.00,geographic information system gis software,3.0,Geographic information system GIS software,tech
11-1021.00,google ads,3.0,Google Ads,tech
11-1021.00,google analytics,3.0,Google Analytics,tech
11-1021.00,google docs,3.0,Google Docs,tech
11-1021.00,google drive,3.0,Google Drive,tech
11-1021.00,google slides,3.0,Google Slides,tech
11-1021.00,groupme,3.0,GroupMe,tech
11-1021.00,heat software goldmine,3.0,HEAT Software GoldMine,tech
11-1021.00,hubspot software,3.0,HubSpot software,tech
11-1021.00,human resource management software hrms,3.0,Human resource management software HRMS,tech
11-1021.00,human resources software,3.0,Human resources software,tech
11-1021.00,ibm cognos impromptu,3.0,IBM Cognos Impromptu,tech
11-1021.00,ibm domino,3.0,IBM Domino,tech
11-1021.00,ibm infosphere datastage,3.0,IBM InfoSphere DataStage,tech
11-1021.00,ibm notes,3.0,IBM Notes,tech
11-1021.00,ibm power systems software,3.0,IBM Power Systems software,tech
11-1021.00,ibm spss statistics,3.0,IBM SPSS Statistics,tech
11-1021.00,innquest software roommaster,3.0,InnQuest Software roomMaster,tech
11-1021.00,instructing,3.0,Instructing,skill
11-1021.00,intuit quickbooks,3.0,Intuit QuickBooks,tech
11-1021.00,inventory management software,3.0,Inventory management software,tech
11-1021.00,job control language jcl,3.0,Job control language JCL,tech
11-1021.00,judgment and decision making,3.62,Judgment and Decision Making,skill
11-1021.00,kronos workforce payroll,3.0,Kronos Workforce Payroll,tech
11-1021.00,kronos workforce timekeeper,3.0,Kronos Workforce Timekeeper,tech
11-1021.00,law and government,2.56,Law and Government,knowledge
11-1021.00,learning strategies,3.0,Learning Strategies,skill
11-1021.00,lexisnexis,3.0,LexisNexis,tech
11-1021.00,linkedin,3.0,LinkedIn,tech
11-1021.00,lsa visual easy lean,3.0,LSA Visual Easy Lean,tech
11-1021.00,management of financial resources,3.0,Management of Financial Resources,skill
11-1021.00,management of material resources,3.12,Management of Material Resources,skill
11-1021.00,management of personnel resources,3.75,Management of Personnel Resources,skill
11-1021.00,marketo marketing automation,3.0,Marketo Marketing Automation,tech
11-1021.00,mathematics,3.53,Mathematics,skill
11-1021.00,maximizer software maximizer enterprise,3.0,Maximizer Software Maximizer Enterprise,tech
11-1021.00,mcafee,3.0,McAfee,tech
11-1021.00,mechanical,2.85,Mechanical,knowledge
11-1021.00,medical condition coding software,3.0,Medical condition coding software,tech
11-1021.00,microsoft access,3.0,Microsoft Access,tech
11-1021.00,microsoft dynamics,3.0,Microsoft Dynamics,tech
11-1021.00,microsoft dynamics gp,3.0,Microsoft Dynamics GP,tech
11-1021.00,microsoft excel,3.0,Microsoft Excel,tech
11-1021.00,microsoft exchange,3.0,Microsoft Exchange,tech
11-1021.00,microsoft frontpage,3.0,Microsoft FrontPage,tech
11-1021.00,microsoft internet explorer,3.0,Microsoft Internet Explorer,tech
11-1021.00,microsoft office software,3.0,Microsoft Office software,tech
11-1021.00,microsoft onenote,3.0,Microsoft OneNote,tech
11-1021.00,microsoft outlook,3.0,Microsoft Outlook,tech
11-1021.00,microsoft powerpoint,3.0,Microsoft PowerPoint,tech
11-1021.00,microsoft project,3.0,Microsoft Project,tech
11-1021.00,microsoft publisher,3.0,Microsoft Publisher,tech
11-1021.00,microsoft sharepoint,3.0,Microsoft SharePoint,tech
11-1021.00,microsoft sql server,3.0,Microsoft SQL Server,tech
11-1021.00,microsoft visio,3.0,Microsoft Visio,tech
11-1021.00,microsoft visual basic,3.0,Microsoft Visual Basic,tech
11-1021.00,microsoft visual basic for applications vba,3.0,Microsoft Visual Basic for Applications VBA,tech
11-1021.00,microsoft windows,3.0,Microsoft Windows,tech
11-1021.00,microsoft word,3.0,Microsoft Word,tech
11-1021.00,microstrategy,3.0,MicroStrategy,tech
11-1021.00,minitab,3.0,Minitab,tech
11-1021.00,monitoring,4.0,Monitoring,skill
11-1021.00,mozilla firefox,3.0,Mozilla Firefox,tech
11-1021.00,mozilla thunderbird,3.0,Mozilla Thunderbird,tech
11-1021.00,nagios,3.0,Nagios,tech
11-1021.00,negotiation,3.5,Negotiation,skill
11-1021.00,netsuite erp,3.0,NetSuite ERP,tech
11-1021.00,netsuite netcrm,3.0,NetSuite NetCRM,tech
11-1021.00,nortonlifelock cybersecurity software,3.0,NortonLifeLock cybersecurity software,tech
11-1021.00,operations analysis,2.5,Operations Analysis,skill
11-1021.00,oracle business intelligence enterprise edition,3.0,Oracle Business Intelligence Enterprise Edition,tech
11-1021.00,oracle database,3.0,Oracle Database,tech
11-1021.00,oracle e-business suite financials,3.0,Oracle E-Business Suite Financials,tech
11-1021.00,oracle eloqua,3.0,Oracle Eloqua,tech
11-1021.00,oracle fusion applications,3.0,Oracle Fusion Applications,tech
11-1021.00,oracle hyperion,3.0,Oracle Hyperion,tech
11-1021.00,oracle jd edwards enterpriseone,3.0,Oracle JD Edwards EnterpriseOne,tech
11-1021.00,oracle peoplesoft,3.0,Oracle PeopleSoft,tech
11-1021.00,oracle peoplesoft financials,3.0,Oracle PeopleSoft Financials,tech
11-1021.00,oracle primavera enterprise project portfolio management,3.0,Oracle Primavera Enterprise Project Portfolio Management,tech
11-1021.00,oracle solaris,3.0,Oracle Solaris,tech
11-1021.00,oracle taleo,3.0,Oracle Taleo,tech
11-1021.00,payroll software,3.0,Payroll software,tech
11-1021.00,personnel and human resources,3.44,Personnel and Human Resources,knowledge
11-1021.00,personnel scheduling software,3.0,Personnel scheduling software,tech
11-1021.00,persuasion,3.62,Persuasion,skill
11-1021.00,point of sale pos software,3.0,Point of sale POS software,tech
11-1021.00,postgresql,3.0,PostgreSQL,tech
11-1021.00,production and processing,3.57,Production and Processing,knowledge
11-1021.00,psychology,2.53,Psychology,knowledge
11-1021.00,public safety and security,2.74,Public Safety and Security,knowledge
11-1021.00,puppet,3.0,Puppet,tech
11-1021.00,qlik tech qlikview,3.0,Qlik Tech QlikView,tech
11-1021.00,quest erwin data modeler,3.0,Quest Erwin Data Modeler,tech
11-1021.00,r,3.0,R,tech
11-1021.00,reading comprehension,4.0,Reading Comprehension,skill
11-1021.00,realization streamliner,3.0,Realization Streamliner,tech
11-1021.00,sage 50 accounting,3.0,Sage 50 Accounting,tech
11-1021.00,sage mas 500,3.0,Sage MAS 500,tech
11-1021.00,sales and marketing,2.99,Sales and Marketing,knowledge
11-1021.00,salesforce software,3.0,Salesforce software,tech
11-1021.00,salesforce.com salesforce crm,3.0,Salesforce.com Salesforce CRM,tech
11-1021.00,sap business objects,3.0,SAP Business Objects,tech
11-1021.00,sap crystal reports,3.0,SAP Crystal Reports,tech
11-1021.00,sap software,3.0,SAP software,tech
11-1021.00,sas,3.0,SAS,tech
11-1021.00,savant mobileranger,3.0,Savant MobileRanger,tech
11-1021.00,screencastify,3.0,Screencastify,tech
11-1021.00,seamonkey,3.0,SeaMonkey,tech
11-1021.00,service orientation,3.25,Service Orientation,skill
11-1021.00,shell script,3.0,Shell script,tech
11-1021.00,siemens nx,3.0,Siemens NX,tech
11-1021.00,slack,3.0,Slack,tech
11-1021.00,social media sites,3.0,Social media sites,tech
11-1021.00,social perceptiveness,3.75,Social Perceptiveness,skill
11-1021.00,software on sailboats desktop sales manager,3.0,Software on Sailboats Desktop Sales Manager,tech
11-1021.00,speaking,4.0,Speaking,skill
11-1021.00,splunk enterprise,3.0,Splunk Enterprise,tech
11-1021.00,statacorp stata,3.0,StataCorp Stata,tech
11-1021.00,structured query language sql,3.0,Structured query language SQL,tech
11-1021.00,sugar crm,3.0,Sugar CRM,tech
11-1021.00,supervisory control and data acquisition scada software,3.0,Supervisory control and data acquisition SCADA software,tech
11-1021.00,systems analysis,3.12,Systems Analysis,skill
11-1021.00,systems evaluation,3.12,Systems Evaluation,skill
11-1021.00,tableau,3.0,Tableau,tech
11-1021.00,tax software,3.0,Tax software,tech
11-1021.00,teradata database,3.0,Teradata Database,tech
11-1021.00,the mathworks matlab,3.0,The MathWorks MATLAB,tech
11-1021.00,time management,3.62,Time Management,skill
11-1021.00,vanguard software vanguard sales manager,3.0,Vanguard Software Vanguard Sales Manager,tech
11-1021.00,veritas netbackup,3.0,Veritas NetBackup,tech
11-1021.00,vtiger crm,3.0,vtiger CRM,tech
11-1021.00,writing,3.5,Writing,skill
11-1021.00,yardi software,3.0,Yardi software,tech
11-1021.00,youtube,3.0,YouTube,tech
11-1031.00,adobe acrobat,3.0,Adobe Acrobat,tech
11-1031.00,adobe framemaker,3.0,Adobe FrameMaker,tech
11-1031.00,antenna house,3.0,Antenna House,tech
11-1031.00,apple iwork keynote,3.0,Apple iWork Keynote,tech
11-1031.00,apple iwork pages,3.0,Apple iWork Pages,tech
11-1031.00,apple numbers for mac,3.0,Apple Numbers for Mac,tech
11-1031.00,cisco anyconnect,3.0,Cisco AnyConnect,tech
11-1031.00,cisco webex,3.0,Cisco Webex,tech
11-1031.00,corel wordperfect office suite,3.0,Corel WordPerfect Office Suite,tech
11-1031.00,goodreader,3.0,GoodReader,tech
11-1031.00,iannotate,3.0,iAnnotate,tech
11-1031.00,ibm domino,3.0,IBM Domino,tech
11-1031.00,legislative automative workflow system laws,3.0,Legislative Automative Workflow System LAWS,tech
11-1031.00,logmein gotomeeting,3.0,LogMeIn GoToMeeting,tech
11-1031.00,mapping software,3.0,Mapping software,tech
11-1031.00,meeting scheduling software,3.0,Meeting scheduling software,tech
11-1031.00,microsoft access,3.0,Microsoft Access,tech
11-1031.00,microsoft excel,3.0,Microsoft Excel,tech
11-1031.00,microsoft exchange,3.0,Microsoft Exchange,tech
11-1031.00,microsoft office software,3.0,Microsoft Office software,tech
11-1031.00,microsoft outlook,3.0,Microsoft Outlook,tech
11-1031.00,microsoft sharepoint,3.0,Microsoft SharePoint,tech
11-1031.00,microsoft sql server,3.0,Microsoft SQL Server,tech
11-1031.00,microsoft visual basic,3.0,Microsoft Visual Basic,tech
11-1031.00,microsoft word,3.0,Microsoft Word,tech
11-1031.00,penultimate,3.0,Penultimate,tech
11-1031.00,ptc arbortext,3.0,PTC Arbortext,tech
11-1031.00,rocket/folio nxt,3.0,Rocket/Folio NXT,tech
11-1031.00,structured query language sql,3.0,Structured query language SQL,tech
11-1031.00,web browser software,3.0,Web browser software,tech
11-1031.00,windows media player,3.0,Windows Media Player,tech
11-1031.00,xmetal author,3.0,XMetaL Author,tech
11-2011.00,active learning,3.25,Active Learning,skill
11-2011.00,active listening,4.12,Active Listening,skill
11-2011.00,actuate birt,3.0,Actuate BIRT,tech
11-2011.00,administration and management,4.12,Administration and Management,knowledge
11-2011.00,administrative,3.25,Administrative,knowledge
11-2011.00,adobe acrobat,3.0,Adobe Acrobat,tech
11-2011.00,adobe acrobat reader,3.0,Adobe Acrobat Reader,tech
11-2011.00,adobe after effects,3.0,Adobe After Effects,tech
11-2011.00,adobe creative cloud software,3.0,Adobe Creative Cloud software,tech
11-2011.00,adobe dreamweaver,3.0,Adobe Dreamweaver,tech
11-2011.00,adobe experience manager (aem),3.0,Adobe Experience Manager (AEM),tech
11-2011.00,adobe illustrator,3.0,Adobe Illustrator,tech
11-2011.00,adobe indesign,3.0,Adobe InDesign,tech
11-2011.00,adobe pagemaker,3.0,Adobe PageMaker,tech
11-2011.00,adobe photoshop,3.0,Adobe Photoshop,tech
11-2011.00,adobe premiere pro,3.0,Adobe Premiere Pro,tech
11-2011.00,adrelevance,3.0,AdRelevance,tech
11-2011.00,apple final cut pro,3.0,Apple Final Cut Pro,tech
11-2011.00,apple imovie,3.0,Apple iMovie,tech
11-2011.00,avid media composer,3.0,Avid Media Composer,tech
11-2011.00,brainworks,3.0,Brainworks,tech
11-2011.00,business analysis software,3.0,Business analysis software,tech
11-2011.00,communications and media,4.35,Communications and Media,knowledge
11-2011.00,complex problem solving,3.5,Complex Problem Solving,skill
11-2011.00,computers and electronics,3.31,Computers and Electronics,knowledge
11-2011.00,constant contact,3.0,Constant Contact,tech
11-2011.00,coordination,3.5,Coordination,skill
11-2011.00,critical thinking,4.0,Critical Thinking,skill
11-2011.00,customer and personal service,4.16,Customer and Personal Service,knowledge
11-2011.00,customer relationship management crm software,3.0,Customer relationship management CRM software,tech
11-2011.00,data visualization software,3.0,Data visualization software,tech
11-2011.00,data warehousing software,3.0,Data warehousing software,tech
11-2011.00,database software,3.0,Database software,tech
11-2011.00,design,2.79,Design,knowledge
11-2011.00,drupal,3.0,Drupal,tech
11-2011.00,economics and accounting,3.04,Economics and Accounting,knowledge
11-2011.00,education and training,2.94,Education and Training,knowledge
11-2011.00,email software,3.0,Email software,tech
11-2011.00,english language,4.41,English Language,knowledge
11-2011.00,experience in software webplanner,3.0,Experience in Software Webplanner,tech
